id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	mountmnr	skilledrider	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	bow	head	body	foot	misc	crownonly	pathcost	startdom	bonusspells	F	A	W	E	S	D	N	G	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	domimmortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	haltheretic	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	reform	regeneration	reanimator	poisonarmor	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	adeptsacr	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	xpshape	unique	fixedname	special	nametype	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	domsummon20	raredomsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	deathfire	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamialord	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	battlesum5	acidshield	drake	prophetshape	horror	enchrebate50p	latehero	sailsize	uwdamage	landdamage	rpcost	buffer	rand5	nbr5	link5	mask5	rand6	nbr6	link6	mask6	mummification	diseaseres	raiseonkill	raiseshape	sendlesserhorrormult	xploss	theftofthesunawe	incorporate	hpoverslow	blessbers	dragonlord	curseattacker	uwheat	slothresearch	horrordeserter	mindvessel	elementrange	sorceryrange	older	disbelieve	firerange	astralrange	landreinvigoration	naturerange	beartattoo	horsetattoo	reincarnation	wolftattoo	boartattoo	sleepaura	snaketattoo	appetite	astralfetters	foreignmagicboost	templetrainer	infernoret	kokytosret	addrandomage	unsurr	combatcaster	homeshape	speciallook	aisinglerec	nowish	bugreform	mason	onisummon	sunawe	spiritsight	defenceorganiser	invisible	startaff	ivylord	spellsinger	magicstudy	triplegod	triplegodmag	unify	triple3mon	yearturn	fortkill	thronekill	digest	indepmove	unteleportable	reanimpriest	stunimmunity	entangle	alchemy	woundfend	singlebattle	falsearmy	summon5	ainorec	researchwithoutmagic	slaver	autocompete	deathparalyze	adventurers	cleanshape	reqlab	reqtemple	horrormarked	changetargetgenderforseductionandseductionimmune	corpseconstruct	guardianspiritmodifier	isashah	iceforging	isayazad	isadaeva	blessfly	plant	clockworklord	commaster	comslave	minsizeleader	snowmove	swimming	stupid	skirmisher	ironvul	heathensummon	unseen	illusionary	reformtime	immortalrespawn	nomovepen	wolf	dungeon	graphicsize	twiceborn	aboleth	tmpastralgems	localsun	tmpfiregems	defiler	mountedbeserk	lanceok	startheroab	minprison	uwfireshield	saltvul	landenc	plaguedoctor	curseluckshield	pathboostuw	pathboostland	noarmormapmovepenalty	farthronekill	hpoverflow	indepstay	polyimmune	horrormark	deathdisease	allret	percentpathreduction	aciddigest	beckon	slaverbonus	carcasscollector	mindcollar	labpromotion	mountainrec	indepspells	enchrebate50	summon1	randomspell	deathpower	deathrec	norange	insanify	reanimator	defector	nohof	batstartsum1d3	enchrebate10	undying	moralebonus	uncurableaffliction	autoblessed	wintersummon1d3	stygianguide	almostundead	end
2214	Spine Membrane Horror	557	86										1		0	0	4	4	12	16	18	30	12	13	15	10	0	5	12						50		10		10000	0		0	0	0	2																																					1												1		1																				1															1					20		1				5																	1										1																																																																																																																														1						1														10																																																																																																																																																															
2215	Belly Maw Horror	550	550	550	550	556							1		0	0	5	5	27	10	18	30	15	14	14	10	0	3	10						50		10		10000	0		0	0	0	2																																					1												1																						1																				20	100					5																											1																																																																																																													10																	1						1														20																																		2																																																																																																																													
2216	Brass Claw Horror	560	560	559	559								1		0	0	5	5	16	14	18	30	14	14	14	10	0	3	12						50		10		10000	0	1	2	1	1	2																																					1												1																						1															1	15				20	100					5																											1																																																																																																													4																	1						1														11																																		1																																																																																																																													
2217	Worm Mage	92											1		0	0	3	3	10	0	18	30	12	11	11	11	0	2	6					2	10					2		1	1	1	2											3				20	1	1	13312																								1						1																		1	1				1												15	1		1				5			1																																																																													2975																																																															0													2218										1																																																1						40																																																																																																																							
2218	Large Beetle	739											1		0	0	1	1	1	1	3	50	1	14	12	10	5	1	6						50		10			0		0	0	0	2																																					1		1			1									1							40													1		1																																																																																																																																																																							1																1																																																																																																																																																																													
2219	Forest Troll	165							44				1		0	0	5	5	26	7	14	11	19	10	9	8	2	2	14						10				200	2		1	1	1	2																																										1																													1																	-5				50																																																																																																																																																																				1																																																																																																																																																																													
2220	Troll Shaman	7							44				1		0	0	5	5	26	7	16	11	19	10	9	8	2	2	14						10				200	2		1	1	1	2										1	1				100	1	1	29696																								1																													1																	-5				50											-6																																																																																																																																																									1																																																																																																																																																																													
2221	Troll Seithberender	7							44				1		0	0	5	5	26	7	17	11	19	10	9	8	2	2	14						10				200	2		1	1	1	2									2	2	1				100	1	1	15360																								1																													1																	-5				50											-6																																																																																																																																																									1																																																																																																																																																									5																				
2222	Frog	740											1		0	0	1	1	1	1	3	50	1	5	10	5	2	1	4						10		10			0		0	0	0	2																																					1		1	1					1				1									40													1		1																																																																																																																																																																							1																1																																																																																																											1																																																																		
2223	Large Spider	578											1		0	0	1	1	1	1	3	50	1	8	10	4	2	1	4						50		10			0		0	0	0	2																																					1		1			1																40													1		1																	15																																																																																																																																																						1																1																																																																																																																																																																													
2224	Red Ant	355											1		0	0	2	2	2	2	3	50	2	8	10	4	2	2	8						50		10			0		0	0	0	2																																					1		1			1																40													1		1																	15																																																																																																																																																						1																1																																																																																																																																																																													
2225	Fire Ant	355											1		0	0	6	6	21	14	5	50	14	11	8	4	2	3	14						50		10			0		0	0	0	2																																					1		1					1														40													1		1																	15																																																																																																																																																																						1																																																																																																																																																																													
2226	Killer Mantis	742	742										1		0	0	5	5	18	10	5	50	14	13	9	4	2	3	16						50		10			0		0	0	0	2																																					1		1					1														40													1		1																	15																																																																																																																																																																						1																																																																																																																																																																													
2227	Goat	300											1		0	0	2	2	6	2	5	9	6	9	9	5	2	20	16						10					0		0	0	0	2																																							1				1															40															1																																																																																																																																																																																							1																																																																																																																																																																													
2228	Deer	634											1		0	0	3	3	12	2	5	7	9	9	8	5	2	20	22						10					0		0	0	0	2																																							1			1																40															1																																																																																																																																																																																							1																																																																																																																																																																													
2229	Forest Giant	165							44				1		0	0	8	8	66	6	9	15	24	11	9	8	2	3	16						10					2		1	1	1	2																																										1																															1																																																																																																								115																																																																															1																																																																																																																																																																													
2230	Hill Giant	609	165						44				1		0	0	9	9	106	8	9	16	28	13	8	8	2	20	18						10					2		1	1	1	2																																											1																														1																																																																																																								115																																																																															1																																																																								3																																																																																																					
2231	Yeti	553	360										1		0	0	6	6	46	8	13	15	22	13	9	8	2	2	14						10				250	2		1	1	1	2																																											1																																														25										3																																																																														111																																																																															1																																																																																																										1																																																																			
2232	Large Scorpion	578											1		0	0	1	1	1	1	3	50	1	8	5	5	2	1	4						50		10			0		0	0	0	2																																					1		1					1														40													1		1																				1																																																																																																																																																			1																1																																																																																																																																																																													
2233	Giant Scorpion	355											1		0	0	2	2	5	5	3	50	5	11	6	4	2	1	8						50		10			0		0	0	0	2																																					1		1					1														40													1		1																	15			1																																																																																																																																																			1																1																																																																																																																																																																													
2234	Irminsul	240	240	240									1		0	0	10	10	250	20	18	30	14	8	0	8	0	0	2						150		50			0		0	0	0	2		60	4	1							3																															1												1																	1														1	1		-5																																											-1																																														145												1			694																																																																1																																																														3																																							1																																																																								
2235	Rephaite Scholar	92							158				1		0	0	6	6	35	2	17	10	18	9	9	10	3	16	14						0				250	2		1	1	1	2					2			2	3																																			1																																												5																																																																	8																						Simeon ben Tabbai		149																																																																											5				1																																									1																																																																																																																																				
2236	Sobek Warrior	10	20						17	20	2		1		0	0	5	5	25	8	13	13	14	12	10	8	4	14	12						50				100	2		1	1	1	2																																								1					1																																													10																																																																																																																																																																						1																																																																																																											1																																																																		
2237	Sobek Sacred Guard	5	20						17	20			1	2	0	0	6	6	37	9	14	14	16	13	10	8	4	16	12						50				100	2		1	1	1	2																															1									1					1																																													10																																																																																																																																																																						1																																																																																																											1																																																																		
2238	Sobek General	10	20						17	20			1		0	0	5	5	29	8	15	14	15	13	11	8	4	14	12						100				100	2		1	1	1	2																															1									1					1																																	1												10																																																																																																																																																																						1																																																																																																											1																																																																		
2239	Asynja	92											1		0	0	8	8	65	3	18	30	19	10	14	13	2	20	16						150					2		1	1	1	2		60	3								2	1																													1																	65	1																																																																											1																																											116												1																																																																			1																																																																																																																																																																													
2240	Longdead Captain	10							93				1		0	0	3	3	12	0	14	30	12	14	12	12	0	20	11						50	100				2		1	1	1	2																																		1	1														1							999	5													1	1															1			15	25																																																																																																																																																																						1																																																										1																																																																																																																			
2241	Longdead Boatswain	10											1		0	0	3	3	10	0	16	30	12	13	11	12	0	20	11						50	100				2		1	1	1	2																																		1	1														1																					1	1															1			15	25																																																																																																																																																																						1																																																										1																																																																																																																			
2242	Soulless Warrior	1							10				1		0	0	4	4	13	0	6	50	11	5	3	5	0	14	4						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
2243	Soulless Warrior	1							11	20	2		1		0	0	4	4	13	0	6	50	11	5	3	5	0	14	4						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
2244	Scelerian Cultist	9											1		0	0	3	3	10	0	14	10	9	8	8	10	4	14	10						10	10				2		1	1	1	2														1																	1																																																																																																																																																																																																																																	1																																																																																																																																																																													
2245	Sorcerer of the Sands	7											2		0	0	3	3	10	0	15	12	9	8	8	11	3	14	10						50		10			2		1	1	1	2					1	1		1							100	1	1	5504																										1																																																																																																																																																																																																																				1																																																																																																																																																																													
2246	Blessed Couple	357	55						103	2	119		1		0	0	5	3	23	3	17	13	15	12	15	13	3	3	30						100					2	1	1	1	0	2				1			1	1		1	3			2																	1											1																65								1													2																4			4																																																																					2247								Karya and Petraios																																																							-1																										1																																																1																																									1																																																																																				
2247	Grieving Dryad	55											1		0	0	3	3	11	0	17	13	10	11	13	10	3	16	15						100					2		1	1	1	2							1	1		1	3			2																	1										1	1																65					9			1													2																4																																																																																Karya																																																							1																										1																																																																																																																								711																																																					
2248	Sister	92											1		0	0	3	3	9	0	12	7	9	8	8	10	4	14	10						10					2		1	1	1	2																															1										1																	40																																																																												1																																																																																																																										1																																																																																																																																																																													
2249	Nun	92											1		0	0	3	3	9	0	13	7	9	7	7	10	4	14	10						10					2		1	1	1	2														1																	1										1																																																																																													1																																																																																																																										1																																																																																																																																																																													
2250	Abbess	92											1		0	0	3	3	9	0	14	11	9	7	7	10	4	14	10						50					2		1	1	1	2														2																	1										1																																																																																													1																																																																																																																										1																																																																																																																																																																													
2251	Ancient Presence	505	811										1		0	0	10	10	197	6	18	30	26	16	7	10	0	20	8						50	100		2750	3000	0		0	0	0	2							1				1				100	2	1	12800																	1		1								1																										1														1	1		-10		25							10									3																																																																																																																																																						1																	3																															1																																																																																											1																																		
2252	Berytian Scout	9	23						120				1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12						0					2		1	1	1	2																																										1	1															55																																																																																																																							107																																																																															1																																																																																																																																																																													
2253	Berytian Captain	6							12	2	162		1		0	0	3	3	11	0	10	12	10	11	11	10	3	14	12						100					2		1	1	1	2																																																								999	3																																																																																																																								107																																																																															1																																																																																																																																																																													
2254	Berytian Militia	1							5	2	120		1		0	0	3	3	10	0	10	8	10	8	8	8	4	10	11						50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2255	Berytian Archer	9	23						5	162			1		0	0	3	3	10	0	10	8	10	8	8	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2256	Berytian Spearman	1	21						183	162	2		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2257	Berytian Soldier	6							7	162	2		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2258	Berytian Heavy Spearman	28							12	123	2		1		0	0	3	3	10	0	10	11	10	10	11	10	3	14	12						50					2		1	1	1	2																																																																										2																																																																																																							107																																																																															1																																																																																																																																																																													
2259	Berytian Elite Soldier	6							12	123	2		1		0	0	3	3	12	0	10	13	10	11	12	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2260	Berytian Lancer	357							183	2	162		1		0	0	3	3	10	0	10	11	10	10	11	10	3	14	12			3514			50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2261	Elephant Rider	777							5	120			1		0	0	3	3	10	0	10	8	10	10	10	10	3	14	12			3540			50					2		1	1	1	2																																																																																																																																																																																	107																																																																															1																																																																																																																																																																													
2262	Colossi Warrior	6							12	162	2		1		0	0	4	4	22	1	12	14	15	12	12	11	2	18	14						50				100	2		1	1	1	2																															1																																																																																																																																																		125																																																																															1																																																																																																																																																																													
2263	Mage Pilot	9							158				1		0	0	3	3	10	0	13	9	10	8	8	11	3	14	12						50					2		1	1	1	2						1	1																																																	999	3																																																																																																																								107																																																																															1																																																																																																																																																																													
2264	Storm Caller	9							158				2		0	0	3	3	10	0	16	9	10	8	8	11	3	14	12						50					2		1	1	1	2						2	2								100	1	1	2944																																						999	3																																																																																																																								107																																																																															1																																																																																																																																																																													
2265	Berytian Priest	9							158				1		0	0	3	3	9	0	13	11	9	8	8	10	3	14	10						10					2		1	1	1	2													1	1	100	1	1	34176													1																									999	3																																																																																																																								107																																																																															1																																																																																																																																																																													
2266	Bride-in-Waiting	473							148				2		0	0	4	4	18	1	17	12	13	10	10	12	2	18	14						100			110	150	2		1	1	1	2					2	2		1					2	2	100	1	1	34176	10	1	1	34176									1										1																																																																																																																																								125																																																																															1																																																																																																																																																																													
2267	Melqart	520	331						165	148	166		2		0	0	8	8	69	5	18	15	24	15	14	12	2	20	18						200				750	2		1	1	1	2													3	3	100	1	2	1408													1													1																											1																	10									5																																																						8	80				3	1																				140																																																																															1																																									20																																																																																																																																				
2268	Gudu	7							44				1		0	0	5	5	24	2	14	9	15	10	9	10	3	16	14						10					2		1	1	1	2														1	100	1	2	1280													1																																																																																																																																																		151																																																																															1																																																																																																																																																																													
2269	Entu	7											2		0	0	4	4	19	2	16	9	14	10	10	10	3	16	14						10					2		1	1	1	2								2			1			3	100	1	1	9984													1										1																																				2																																																																																																				152																																																																															1																																																																																																																																																																													
2270	Tathagata	92	360										1		0	0	4	4	20	3	18	14	15	9	8	9	3	2	10						100				75	2		1	1	1	2														2																	1								1			1																																			1																																																																										-5																								Bandarjuna									2271																																																													1											1																																				100																																																																																																																																									
2271	Seeker of Truths	92											1		0	0	3	3	9	1	13	10	9	8	8	10	3	10	2						10				60	2		1	1	1	2																															1								1			1																																																																																																													-0.5																										129																																																																															1																																				25																																																																																																																																									
2272	Sobek High Priest	89	20						148				1		0	0	5	5	32	8	17	13	16	12	11	8	4	14	12						100			88	100	2		1	1	1	2														3																	1									1					1																																1													10																																																																																					Nakhtun Eshash																																																																																	1																																																																																																											1																																																																		
2273	Large Lobster	235											1		0	0	3	3	8	16	4	15	14	7	5	3	2	3	8						50					0		0	0	0	2																																							1								1																																																																																																																																																																																																																	1																																																																																																																																																																													
2274	Soulless Bandar Warrior	12							12	1			1		0	0	4	4	27	2	5	50	18	7	5	4	0	14	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
2275	False Prophet	9											1		0	0	3	3	9	0	14	11	9	7	8	10	4	14	10						50					2		1	1	1	2														2																	1																											40																																																																																																									3																																																																																													1																																																																																																																																																											2276																		
2276	Heretic	9											1		0	0	3	3	9	0	13	9	9	8	8	10	4	14	10						10					2		1	1	1	2														1																	1																											40																																																																																																																																																																																																						1																																																																																																																																																																													
2277	Monster of Fraud	823	823	203									1		0	0	10	10	206	16	18	30	26	14	12	13	1	4	22						150	100				0	0	1	0	0	2	1									3	4		5																							1															1																				1																		15	20							10																																																																		5											1	Geryon													-20																																																1																				1																																													100	100												1																																																																																															7																				
2278	Prince of Lust	92	331						158	148			1		0	0	8	8	86	5	18	30	23	14	13	12	1	3	16						200	100			1000	2		1	1	1	2					4				3				5																							1																																			1																	20		15							5																																														3B								10																							1	Ashmedai																				811																																									1																				1																																													100	100												1																																																																																															7																				
2279	Warrior Scout	8	17	23					15	120			1		0	0	3	3	13	0	8	11	12	10	10	10	3	16	13	1					0					2		1	1	1	2																																										1	1															40																															5																																																																																																																																																																							1																																																																																																										1																																																																			
2280	...	92	92										1		0	0	6	6	50	8	18	50	24	10	10	0	0	2	14						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																								1																																																		2281																																																																																									1																																																										1																																																																																																																			
2281	...	92											1		0	0	5	5	42	7	17	50	21	10	10	0	0	2	12						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																								1																																																		2282																																																																																									1																																																										1																																																																																																																			
2282	...	92											1		0	0	4	4	34	6	16	50	18	10	10	0	0	2	10						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																								1																																																		2283																																																																																									1																																																										1																																																																																																																			
2283	...	92											1		0	0	3	3	26	5	15	50	15	10	10	0	0	2	8						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																								1																																																		2284																																																																																									1																																																										1																																																																																																																			
2284	...	92											1		0	0	2	2	18	4	14	50	12	10	10	0	0	2	6						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																								1																																																		2285																																																																																									1																																																										1																																																																																																																			
2285	...	92											1		0	0	1	1	10	3	13	50	9	10	10	0	0	2	4						50		10			0		0	0	0	2																																		1			1	1										1																							1																			25			1																																																																																																																																																																			1																																																										1																																																																																																																			
2286	Fiery Imp	351	383										1		0	0	2	2	7	5	13	9	8	12	13	11	1	2	7						50	50				2		1	1	1	2																																				1																																			1																	15	-5												6																																																																												140																																																																															1																																																			1																																																																																																																										
2287	Shadow Imp	351											1		0	0	2	2	7	5	13	9	8	11	14	10	1	2	7						0					2		1	1	1	2																																				1																						60													1																																																			2																																																							140																																																																															1																																																																																																																																																																													
2288	Machaka Scout	9	23										1		0	0	3	3	10	0	10	10	10	10	10	10	2	16	13						0					2		1	1	1	2																																										1	1															40																																																																																																																																																																																																						1																																																																																																																																																																													
2289	Rhino Clan Commander	315							7	112	20		1		0	0	3	3	15	0	10	12	13	11	11	8	2	16	15						75					2		1	1	1	2																																																																																																																																																																																	126																																																																															1																																																																																																																																																																													
2290	Lion Clan Commander	315							44	112	20		1		0	0	3	3	14	0	10	13	12	12	12	10	2	16	14						100					2		1	1	1	2																																																																																																																																																																																	126																																																																															1																																																																																																																																																																													
2291	Voice of Lion	12											1		0	0	3	3	13	0	13	12	11	11	11	10	2	16	13						50					2		1	1	1	2											1			1																	1																																																2																																																																																																		126																																																																															1																																																																																																																																																																													
2292	Hyena Clan Witch Doctor	7											1		0	0	3	3	11	0	14	9	10	10	10	10	2	16	13						10					2		1	1	1	2					1			1		2																																		1																																																																																										1																													1														126																																																																															1																																																																																																																																																																													
2293	Bouda	13											2		0	0	3	3	13	0	17	13	11	11	11	11	2	16	13						10			55	100	2		1	1	1	2					1			2		2					100	1	1	5248																										1																																																																																						1																					2												2		2294												126																																																																															1																																																																																																																																																																													
2294	Werehyena	595	20										2		0	0	3	3	16	4	17	14	13	13	11	8	2	3	20						10				100	2		1	1	1	2					1			2		2					100	1	1	5248																										1														40																																																																																													2												2		2293												126																																																																															1																																																																																																																																																																													
2295	Spider Clan Sorcerer	7											2		0	0	3	3	11	0	15	10	10	10	10	10	2	16	13						10					2		1	1	1	2					1					1	1	1			100	2	1	29824	10	1	1	29824																				1																																																5																																																																																							126																																																																															1																																																																																																																																																																													
2296	Lion King	563							148				2		0	0	4	4	20	1	17	13	14	11	10	10	2	18	14						100			110	150	2		1	1	1	2					2			1			3			2	10	1	1	9344													1																																																																																																																																																		126																																																																															1																																																																																																																																																																													
2297	Lion Queen	473							148				2		0	0	4	4	18	1	17	12	13	10	10	12	2	18	14						50			110	150	2		1	1	1	2					3			1			2			1	10	1	1	9344													1										1																																																																																																																																								125																																																																															1																																																																																																																																																																													
