id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	acidres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	G	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	glamourrange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpglamourgems	gf	ga	gw	ge	gs	gd	gn	gg	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	proudsteed	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	disbelieve	truesight	falsesupplies	bestowtomount	extraarms	nomount	noinanimate	nightmareaura	undreaming	glamourman	nomindless	noforgebonus	magerestriction	dancingweapon	strikes	warning	strrequired	beauty	scalewalls	nononsleeper	reconst	blur	fireempower	airempower	waterempower	earthempower	heavy	dreamenhancer	end
493	Golden Barding	barding	5	F	1	S	1		277		5																																																																																																																																																													6		61																																																																																			1																																					
494	Sunrise Barding	barding	9	F	2	E	2		290	15	15																4																																																																																																																																													20																																																																																																																										
495	Shortsword	2-h wpn	13	E	3			132								80																																																																																																																																																																																																																																																																																		
496	Hammer of the Cyclops	2-h wpn	13	E	6			119																																																																																																																																																				1																																																																																																																																						
497	The Admiral's Sword	1-h wpn	13	D	3			186																																																													5																																																																																																																																																																																																																													
498	Precious	misc	13	F	2																								4	4																																																																																																																																																																																																																																																																				
499	Vial of Frozen Tears	misc	13	W	4	D	3																																																																							1			1																																																																																																																																																																																																																	
500	Crown of Katafagus	crown	13	D	6				212	15	15																																																				1						5												1																																																									398																													1																																																																																																																											
501	Crown of Ptah	crown	13	F	5	D	6		212																		3	4																																	1		1						10																																																															Power of the Sepulchre		Control the Dead																																	1																																																																																																																											
502	Robe of the Sorceress	armor	13	E	5	S	5		98																																																																							1	1	1	1																																																																																					2																																																																																																																										
503	Sun Armor	armor	13	F	4				95																			4																																										3																																																																																																		10																																																																																																																										
504	Sun Helmet	helm	13	F	4				96																		5																																											1																																																																																																																																																																																																																												
505	Sun Sword	1-h wpn	13	F	4			275																																															1										50																																															2	1																																																																																																																																																																																	
506	Sun Shield	shield	13	F	4				97	15	15																																																											1																																																																																																																																																																																																																												
507	Greenstone Armor	armor	13	E	3				108					10																																																																																																																																																										10																																																																																																																								1		
508	Dragon Pearl	misc	11	W	5	S	5																																									1															1															1																			1																																																																																																																																																1																								1																									
509	Dragon Pearl	misc	11	A	5	S	5																																									1															1																	1																			1																																																																																																																																														2																								1																									
510	Dragon Pearl	misc	11	N	5	S	5																																									1															1																			1																			1																																																																																																																																												9																																																	
511	Pearl of Light	misc	13	W	5	S	5																														1							1				1															1													1	1	1	1																																																																																																																																																																		3																								1																									
512	Helmet of Invisibility	helm	11	D	3				191																																																						1																																																																																																																																		1	1																																															5																																																	
513	Crown of Ohya	crown	11	G	3	F	2		266																																																													2																																																																																																	1																																																																										8																																																	
514	Champion's Trident	2-h wpn	13	F	5			135																																												1				1							1		50																																																																																																																																																	1																																													1																																			
515	Champion's Cuirass	armor	13	F	5				200																																											1				1							1							1																																																																											5																							10																																										1																																													1																																			
516	Champion's Helmet	helm	13	F	5				174																			4																								1				1							1					2		1																																																																																																																																												1																																													1																																			
517	Champion's Gladius	1-h wpn	13	F	5			588										2																																		1				1							1					1																																																																																																																																														1																																													1																																			
518	Golden Sandals	boots	13	F	5																										5																					1				1							1		50																																																																																																																	6																																1																																													1																																			
519	Champion's Medal	misc	13	F	5																																															1				1							1		50			1																																																																																																																													1																	1																																													1																																			
520	Champion's Headband	crown	13	F	5				240																																											1				1							1		50			3		1																																																																																																	1																																											1																																													1																																			
521	Storm Armor	armor	13	A	3				292	15																																																																																																																																																														6																																																																																	1																1																									
522	Carrion Seed	misc	5	N	1	D	1																																																							1	1																																																																																			53																																																																																																													1																																			
523	Carrion Bow	missile	5	N	1	D	1	869																																																																																																																																										53																											-40	-60																																																																																																																				
524	Soul Scales	misc	5	B	1	G	1																																																																																																																																																																																																																																																																																										2	
