id	name	rarity	loc	level	path	F	A	W	E	S	D	N	G	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	scorch	evil	scryrange	addtolimitedrecruitment	ageratereduction	dragonlord	corpselord	ivylord	maximizeorder	end
772	Witches Bog	0	0	1	Death			1			1																																																																																															50																				
773	Catacombs	1	0	1	Death					1	1																																																																																															53																				
774	Overgrown Graveyard	1	0	1	Death						1	1																																																																																														53																				
775	Nightmare Meadow	1	0	1	Death						1		1					5																																																																																								49																				
776	Marble Mausoleum	2	0	1	Death						1																																													20%																																																		53																				
777	Raven Oak	2	0	1	Death						1	1																																																																																														47																				
778	Black Tower	2	0	2	Death						3									lab																																																																95	94																					51																				
779	Academy of Magic	2	0	1	Death						1									lab																																																																3508	3499																					51																				
780	Academy of Dark Magics	2	0	2	Death						2			1						lab																																																																3508	3499	3492																				51																				
781	Death Mound Downs	2	0	2	Death						2																																																																									310																						53																				
782	Statue of Death	2	0	3	Death						2																																																																																															47																				
783	Chillsick Swamp	1	0	1	Death			1			1	1																																																				5%																																										50																				
784	Leper Fens	1	0	1	Death			1			2																																																					10%																																										50																				
785	Grayshade Forest	1	0	1	Death						3																																																																									3490																						50																				
786	Litter Skull	1	0	2	Death						4																																																																									310																						49																				
787	The Crypt Underneath	1	0	2	Death						3																																													20%																																																		54																				
788	Flesh Garden of Mortal Remains	1	0	3	Death						2	1																																																																																														49																				
789	The Bowl of the Lost	1	0	3	Death						1																																																																																															53																				
790	Skull Temple	2	0	0	Death						1																																																																																															53																				
791	Tomb of the Ancients	2	0	3	Death						4																																																																																															54																				
792	The Shaded Lands	2	0	0	Death						3							10																																																																																								52																				
793	The Shattered Lands	2	0	0	Death						2																																																																																															52																				
794	The City of a Thousand Wonders	2	0	1	Death	1					2										4																																																	10																																				53																				
795	The Mausoleum of the Great Sarlah	2	0	2	Death						3																																																																																															53																				
796	The Charnel House	2	0	3	Death		1			1	2																																																																																															53																				
797	The Shadow Furnace	2	0	4	Death	1					4																																																																																															53																				
798	Halls of the Dead	2	0	1	Death						1																																																	20%																																														53																				
799	Banefire Forge	2	0	1	Death	1					1																																																20%																																															53																				
800	Crown of Darkness	2	0	4	Death						3																																																		40%			10%																																										51																				
801	The Obsidian Sphere	2	0	3	Death																																																																1																																					51																				
802	The Draining Stone	2	0	3	Death				1		3																																																																																															52																				
803	Well of Darkness	2	0	2	Death						3																																																																																															52																				
804	Enchanted Tomb	0	0	1	Death						1																																																																																															53																				
805	Bonedoor Tower	1	0	1	Death						1																																																																																															51																				
806	Flaming Tomb	1	0	2	Death	1					1																																																																																															53																				
807	Shademist Swamp	1	0	2	Death		1				1																																																																																															50																				
808	Plaguewater Stream	1	0	2	Death			1			1																																																					3%																																										50																				
809	Valley of the Dead	1	0	2	Death				1		1																																																																																															49																				
810	Silver Sarcophagus	1	0	2	Death					1	1																																																																																															53																				
811	Carrion Thicket	1	0	2	Death						1	1																																																																																														49																				
812	The City of the Damned	2	0	2	Death																																																												1%					7																																				53																				
813	The Bleak Lands	2	0	2	Death						2		1																																																																							3490																						51																				
814	Labyrinth of Skulls	0	0	1	Death						1																																																																																															53																				
815	Garden of Bones	0	0	1	Death						1																																																																																															49																				
816	Lilium Vale	0	0	2	Death						1																																																																																															50																				
817	Murder Bog	1	0	2	Death						1																																																																																															50																				
818	Swamp of Shadows	1	0	1	Death						1																																																																																															50																				
819	Murdering Mire	1	0	2	Death						1																																																																																															50																				
820	Animal Cemetery	1	0	2	Death																																																																																																					49																				
821	Gloom Gate	1	0	3	Death						2		1																													D	2																																																															54																				
822	Tomb of the Grand Thaumathurg	2	0	3	Death						1																															D	2																																																															53																				
823	Sigil of the Ancients	2	0	3	Death																																					D	3																																																															52																				
824	Circle of Sending	2	0	2	Death																																																													2%																																								47																				
825	Nidus of Power	2	0	2	Death																																																								20%																																													47																				
826	Conjurer's Circle	2	0	2	Death																																																			20%																																																		47																				
827	Plague Barrow	2	0	1	Death						1																																																					2%																																										49																				
828	Nightmare Swamp	2	0	3	Death						1		1																																																																																													50																				
829	Pit of Despair	2	0	1	Death						1		1					5																																																																																								54																				
830	Imperial Tomb	5	0	2	Death						1																																																																																															53																				
831	Blackrose Tower	1	0	1	Death						1	1																																																																								2362																						51																				
832	Dusk Spiral	1	0	1	Death						1	1																																																																								2361																						51																				
833	The Three Towers of Despair	2	0	3	Death						2		1																																																																																													47																				
834	Necromancer's Lair	2	0	3	Death						2									lab																						D	2																																																															51																				
835	Oath Stone	2	0	2	Death																																																																																					2190																54																				
836	Withered Land	5	0	1	Death						1																																																																																															50																				
837	Hall of the Draugadrott	5	0	2	Death																																																																																																					53																				
838	Cult of Death	5	0	5	Death																																																																																																					48																				
839	Spirit Pact	5	0	3	Death																																																																																					674	675															54																				
840	Ruins of the Old Empire	1	0	0	Death						1																																																																																															53																				
841	Ancient Temple of C'tis	1	0	0	Death						1																																																																																															53																				
842	Cave of Dark Rites	1	0	2	Death						2																																																																																															54																				
843	Temple of Darkness	1	0	2	Death						1																																																																																															53																				
844	Inkpot End	1	0	0	Death													5																																														5%																																										50																				
845	Flesh Eater's Isle	1	0	2	Death																																																																																																					55																				
846	Tower of Seven Tombs	1	0	3	Death						2																																																																																															51																				
847	Tenebrous Tower	1	0	2	Death						1		2																																																																							3491																						51																				
848	Tenebrous Cavern	1	0	2	Death				1		1		1																																																																							3491																						54																				
849	Glen of Verdant Greenery	0	0	1	Nature							1																																																																																														57																				
850	Forest of Delights	0	0	1	Nature							2																																																																																														57																				
851	Farm of Plenty	0	0	1	Nature												75																																																																																									58																				
852	Garden of Weeping Roses	1	0	2	Nature							2																																																																																														57																				
853	Grove of Evergreens	0	0	3	Nature							1																																																																																														57																				
854	Wild Forest	0	0	0	Nature							1																																																																																														57																				
855	Bile Marsh	0	0	1	Nature																																																																										1840																											59	98	1859																		
856	Hidden Forest	1	0	1	Nature							1																																																																								154																						58																				
857	Stone Circle	0	0	1	Nature							1																																																																								105																						58																				
858	Woodhenge	1	0	1	Nature							1																																																																								105																						58																				
859	Animist's Hut	1	0	1	Nature							1																																																																								552																						65																				
860	Fields of the Fire Flies	1	0	1	Nature	1						1																																																																																														58																				
861	Whisperwoods	2	0	1	Nature							1	1																																																																							363																						58																				
862	Hidden Valley	1	0	1	Nature				1			1																																																																																														58																				
863	Forest of a Thousand Streams	2	0	1	Nature			1				1																																																																								364																						57																				
864	Endless Forest	0	0	1	Nature					1		1																																																																																														57																				
865	Dying Forest	0	0	1	Nature						1	1																																																																																														58																				
866	Straywild Forest	0	0	1	Nature							1	1																																																																																													58																				
867	Cottage in the Woods	1	0	2	Nature							1																																																																								1182																						65																				
868	Wormwood Marsh	1	0	0	Nature							1																																																																																														59																				
869	Hall of Ancient Oaks	2	0	1	Nature							1																																																20%																																														61																				
870	Flower Swamp	1	0	1	Nature							1																																																																								363																						59																				
871	Mandrake Gallows	2	0	2	Nature						1	2																																																																																														61																				
872	Jungle Temple	2	0	2	Nature				1			2																																																																																														62																				
873	Maze of Thorn Hedges	2	0	3	Nature					2		1																																																																																														58																				
874	Horses Vale	1	0	0	Nature																																																																										450					451						450																57																				
875	The Cedar Pillars	1	0	1	Nature		1					2																																																30%																																														57																				
876	The Mammoth Forest	1	0	0	Nature							3																																																																																														57																				
877	The Flowering Forest	1	0	1	Nature							1					150																																																																			363																						57																				
878	The Cedar Forest	1	0	1	Nature							2				60																																																																																										57																				
879	Dreamwood Circle	1	0	2	Nature							1	1																																																																							338																						65																				
880	The Crown Woods	1	0	1	Nature							1				60																																																																																										57																				
881	Gateward Valley	1	0	1	Nature																																																															10%											365																											57																				
882	The Motheroak	1	0	1	Nature							2																														N	2																																									154																						61																				
883	Forest of Avendron	1	0	2	Nature				2			3																																																																								154																						57																				
884	Animist's Tower	1	0	2	Nature							2																																																																								552																						60																				
885	Vale of the Silver Cattle	1	0	2	Nature										100		200																																																																																									58																				
886	Forest of the Ape King	1	0	3	Nature							1			75																																																																																											57																				
887	The Sacred Glen	1	0	3	Nature							1																																																							20%																																							58																				
888	The Shrouded Lands	1	0	3	Nature					2		2	2				150																																																																																									65																				
889	The Land of Pleasures Unattained	2	0	3	Nature				1			1	1																																																																																													58																				
890	Soul of the Wild	2	0	4	Nature							5																																																	20%																																													58																				
891	Wolven Gate	2	0	1	Nature							1																																												20%																																																		58																				
892	Twisting Woods	2	0	1	Nature							1																																													20%																																																	58																				
893	Ancient Forest	2	0	1	Nature							2																																																																																														57																				
894	The Vale of Unicorns	2	0	4	Nature							2	1																																																																																													58	57	64	2128																	
895	Forest of Splendor	2	0	2	Nature							1	1					-5																																																																																								57																				
896	The Snake Collector	2	0	3	Nature						1	1																																																																																														62																				
897	Shrine of the Wild	2	0	2	Nature							3																																																																																														62																				
898	Oak of Ages	2	0	3	Nature							3																																																40%																																														61																				
899	The Valley of Shame	2	0	1	Nature							1																																																																																														58																				
900	The Previous Forest	2	0	4	Nature							4																																																																																														58																				
901	Thorn Wood Heights	1	0	1	Nature							2																																																																								1182																						58																				
902	Poison Glades	1	0	1	Nature						2	1																																																																								1182	310																					59																				
903	Lyfjaberg	5	0	0	Nature				1			1																																																			50%																																											58																				
904	Enchanted Field	0	0	1	Nature							1					75																																																																																									58																				
905	Oakwood Tower	1	0	1	Nature							1																																																																																														60																				
906	Grove of Revelry	2	0	2	Nature							1																																																																								1880																						58																				
907	Tinderwood Forest	1	0	2	Nature	1						1																																																																																														57																				
908	Mist Forest	1	0	2	Nature		1					1																																																																																														58																				
909	Flowering Bog	1	0	2	Nature			1				1																																																																																														59																				
910	Evergreen Mountain	1	0	2	Nature				1			1																																																																																														58																				
911	Oak of Memories	1	0	2	Nature					1		1																																																																																														61																				
912	Maggot Woods	1	0	2	Nature						1	1																																																																																														58																				
913	Telesterion	2	0	2	Nature				1			1																																																																								1875	1876																					62																				
914	Unfound Paths	2	0	3	Nature							1	1																																																																																													58																				
915	Wolf Oak	0	0	1	Nature							1																																																																																														61																				
916	Grove of Fertility	0	0	1	Nature							1																																																																																														58																				
917	Druid's Grave	0	0	2	Nature							1																																																																																														61																				
918	Lair of Spiders	2	0	1	Nature							1																																																																																														62																				
919	Skin Shifter's Barrow	2	0	1	Nature							1																																																																																														65																				
920	The Frogmarch	1	0	1	Nature							1																																																																																														59																				
921	Heart of the Forest	2	0	3	Nature							2																														N	3																																																															61																				
922	Field of Golden Rye	1	0	1	Nature							1			30																																																																																											58																				
923	Withering Woods	2	0	1	Nature						1	1																																																																																														59																				
924	Grove of Hooded Spirits	2	0	3	Nature							1																																																			3%																																											61																				
925	Fungus Forest	1	0	1	Nature							1																																																																																														63																				
926	The Crone	2	0	2	Nature																																																												1%																								0																	65																				
927	Thorn Maze	1	0	2	Nature							1																														N	2																																																															58																				
928	Earthroot Grove	2	0	1	Nature							1																														N	2																																																															63																				
929	Starsong Grove	2	0	3	Nature					1																																S	2																																																															58																				
930	Tree of Life	2	0	2	Nature																																																										3%																																											61																				
931	Tree of Knowledge	2	0	2	Nature														8																																														4%																																									61																				
932	Tower of the Moon	2	0	2	Nature																																																																																																					60																				
933	Vale of Healing Herbs	2	0	2	Nature																																																										2%																																											58																				
934	Moonvine Circle	1	0	2	Nature					1		1																																																																								3999																						65																				
935	Hoburg Holdfast	2	0	0	Nature																																																																										271	273				272						273																56																				
936	Hoburg Settlement	2	0	0	Nature																																																																										483					1198																						56																				
937	Barbarian Warcamp	5	0	0	Nature																																																																										139	140				147	141																					56																				
938	Ancient Ruin	1	0	0	Nature																																																																																																					65																				
939	Dusk Spiral	1	0	1	Nature						1	1																																																																								2361																						60																				
940	Tower of Thorns	2	0	3	Nature							2								lab																						N	2																																																															65																				
941	Toad Tribe Settlement	5	0	0	Nature																																																																										1613					1614						1613																62																				
942	The Primal Forest	5	0	0	Nature							3																																																																																														58																				
943	Grove Unpleasant	2	0	2	Nature						1	1																																																																																														58																				
944	Cursed Land	5	0	0	Nature																																																												2%																																									59																				
945	Ivy Grove	1	0	2	Nature							1																																																																																														59																		1		
946	Hall of the Ivy King	2	0	3	Nature							2																																																																																														65																		2		
947	Dancing Lights	0	0	0	Glamour								1																																																																																													68																				
948	Mist Shrouded Ruins	0	0	1	Glamour								1																																																																																													72																				
949	Song of Birds	0	0	1	Glamour								1																																																																																													70																				
950	Veiled Valley	0	0	1	Glamour								1																																																																																													73																				
951	Gorge of Echoes	0	0	1	Glamour								1																																																																																													73																				
952	Shimmering Waterfall	0	0	1	Glamour								1																																																																																													68																				
953	Fairy Circle	0	0	2	Glamour								1																																																																																													77																				
954	Dreamlight	0	0	3	Glamour								1																																																																																													68																				
955	Crystal Garden	0	0	3	Glamour				1				1																																																																																													69																				
956	Perpetual Rainbow	0	0	0	Glamour								1																																																																																													68																				
957	Mirage	0	0	1	Glamour								1																																																																																													69																				
958	Singing Tree	0	0	1	Glamour								2																																																																																													74																				
959	Crossroad	1	0	0	Glamour								1																																																																																													77																				
960	Shop of Strange Items	1	0	0	Glamour								1																																																																																													76																				
961	Veiled Willow	1	0	1	Glamour								1																																																																																													74																				
962	Hall of Merriment	1	0	1	Glamour								1																																																																																													71																				
963	House of Otherworld Windows	1	0	1	Glamour								1																																																																																													76																				
964	Circle of Strange Stones	1	0	1	Glamour								1																																																																																													72																				
965	Cracked Tower	1	0	1	Glamour								2																																																																																													71																				
966	Inn of Strange Travelers	1	0	2	Glamour								1																																																																																													76																				
967	Dream Roses	1	0	2	Glamour								2																																																																																													73																				
968	Mirrorlake	1	0	2	Glamour			2					1																																																																							341																						69																				
969	Rune of Images	1	0	2	Glamour																																					B	2																																																															72																				
970	Stardust Meadow	1	0	2	Glamour					1			1																																																																																													77																				
971	Rainbow Tower	1	0	2	Glamour			1					1																																																																																													75																				
972	Singing Stream	1	0	2	Glamour			1					1																																																																																													69																				
973	Caer	1	0	2	Glamour								2								4																																																																																					75																				
974	The Gray Lodge	1	0	2	Glamour						1		1																																																																							3490																						71																				
975	Twin Spire Tower	2	0	1	Glamour					1			1																																																																							343																						71																				
976	Rainbow Roses	2	0	1	Glamour			1				1	1																																																																																													73																				
977	The Dream Gate	2	0	3	Glamour								2																													B	3																																																															67																				
978	Ivory Tower	2	0	2	Glamour					1			3							lab																																																																3489																						71																				
979	Tower of the Hidden Order	2	0	1	Glamour					1			3							lab																																																																3486	3487	3488																				71																				
980	Tower of the Hidden Order	2	0	1	Glamour					2			2							lab																																																																3486	3487	3488																				71																				
981	Tower of the Hidden Order	2	0	1	Glamour					1			2							lab																																																																3486	3487	3488																				71																				
982	Academy of Magic	2	0	1	Glamour								1							lab																																																																3498	3509																					71																				
983	Academy of High Magics	2	0	2	Glamour		1						2							lab																																																																3507	3498	3509																				71																				
984	Sprite Woods	2	0	2	Glamour							1	1																																																																																													73																				
985	Mirror Wall Palace	1	0	1	Glamour								3																																																																							343																						71																				
986	Fernglow Forest	1	0	2	Glamour							1	1																																																																																													73																				
987	Cedar of Seven Songs	1	0	2	Glamour								2																																																																																													74																				
988	The Glowing Hill	1	0	2	Glamour								2																																																																		849																											72																				
989	The Crystal Oak	2	0	2	Glamour				1	1			1																																																																																													74																				
990	Dreamscape Downs	2	0	2	Glamour								2					-5																																																																																								77																				
991	Maze of Undreamt Dreams	2	0	2	Glamour								3																																																																																													72																				
992	Castle of the Sleeping Beauty	2	0	2	Glamour							1	2																																																																																													75																				
993	Mistwinter	2	0	2	Glamour		1	1					1																																																																																													69																				
994	Shimmerfall	2	0	2	Glamour			1					2																																																																																													68																				
995	Dreamtravel Grove	2	0	2	Glamour					1			1																													S	2																																														3																	70																				
996	The Good Faery	2	0	3	Glamour																																																																																				0																	76																				
997	The Wormwood Tower	1	0	3	Glamour						1	1	1																																																																							2358																						75																				
998	The Gate of Deeper Slumber	2	0	1	Glamour								2																																																																																													72																				
999	Cave of the Sleepers	2	0	4	Glamour								1																																																																																													74																				
1000	Glowing Mound	1	0	1	Glamour	1																																																																																																				72																				
1001	Elusive Mountain	1	0	1	Glamour				1																																																																																																	73																				
1002	Bog of Strange Lights	1	0	1	Glamour			1					1																																																																																													70																				
1003	Rainbow Mist	1	0	1	Glamour		1																																																																																																			68																				
1004	Moon Mirror Moor	1	0	1	Glamour					1																																																																																																77																				
1005	Shimmering Forest	0	0	1	Glamour							1																																																																																														70																				
1006	Nightmare Tower	1	0	1	Glamour						1																																																																																															75																				
1007	Invisible Flame	1	0	2	Glamour	1							1																																																																																													68																				
1008	Mist Coast	1	0	2	Glamour			1					1																																																																																													69																				
1009	Invisible Tower	1	0	2	Glamour				1				1																																																																																													77																				
1010	Mountain of Playful Sylphs	1	0	2	Glamour		1						1																																																																																													73																				
1011	Slumber Woods	1	0	2	Glamour							1	1																																																																																													70																				
1012	Nightmare Marsh	1	0	2	Glamour						1		1																																																																																													70																				
1013	Leper Dreams	2	0	1	Glamour						1																																																					2%																																										70																				
1014	Desert of Dreams	1	0	2	Glamour					1			1																																																																																													68																				
1015	House of Dreams	2	0	1	Glamour								1																																											20%																																																		76																				
1016	Dreams Unleashed	2	0	1	Glamour								1																																													20%																																																68																				
1017	Everchanging Fields	2	0	1	Glamour								1																																												20%																																																	77																				
1018	Gossamer Weaver	2	0	1	Glamour								1																																														20%																																															76																				
1019	Twisted Mirror	2	0	1	Glamour								1																																																20%																																													72																				
1020	Shrouded Glen	2	0	1	Glamour								1																																															20%																																														69																				
1021	Elusive Birdsong	2	0	2	Glamour		1						1																																																																																													69																				
1022	Twin Bottom Lake	2	0	2	Glamour			1					1																																																																																													69																				
1023	The Crystal Citadel	1	0	2	Glamour				1				1							lab	29																																																															340																						73																				
1024	The Inverted Tower	1	0	3	Glamour								4							lab																																																																341																						71																				
1025	The Rainbow Shroud	1	0	3	Glamour			2					2																																																							20%																																						69																				
1026	Birdsong Tower	2	0	1	Glamour																																					B	2																																														0																	71																				
1027	Hall of Horrible Memories	2	0	1	Glamour								1					5																																																																																								68																				
1028	Dusk Spire	2	0	2	Glamour						1		1																																															20%																																														75																				
1029	Bard's College	2	0	2	Glamour								2																																																																							3694																						75																				
1030	Memory Collector	2	0	2	Glamour					1			1																																																																																													76																				
1031	House of Lies	2	0	3	Glamour								1																																																	20%																																												76																				
1032	Twilight Academy	2	0	3	Glamour						1		1							lab																																																																3683																						71																				
1033	The Crystal Academy	2	0	3	Glamour				1				1							lab																																																																340																						71																				
1034	The Great Mirror of Maaki	2	0	3	Glamour			1		1			1																																																																																													72																				
1035	Palace of Dreams	2	0	4	Glamour					1			4																																																																																													71																				
1036	Arena	0	0	0	Blood										40																																																																																											82																				
1037	Brigand Lair	0	0	1	Blood													5																																																													482																											82																				
1038	Academy of War	1	0	0	Blood														4																																																																																							87																				
1039	Damned Merchant	1	0	1	Blood									1																																																																																												82																				
1040	Fields of Blood	1	0	1	Blood						1																																																																																															86																				
1041	Blood Henge	2	0	1	Blood							1																																																																								122																						86																				
1042	Ebony Tower	2	0	2	Blood					1	3									lab																																																																339																						85																				
1043	Summoning Circle	2	0	3	Blood																																																									30%																																												86																				
1044	Gore Swamps	1	0	1	Blood						1	1																																																																																														84																				
1045	Mount Chaining	1	0	1	Blood																																																									30%																																												83																				
1046	The Vale of Infinite Horror	1	0	1	Blood													5																																																1%																																								83																				
1047	The Blood Keep	1	0	1	Blood									1							4																																																										1353					1389																						85																				
1048	Devil's Den	1	0	2	Blood													15																																																																																								88																				
1049	The Ebony Circle	2	0	2	Blood					1	3									lab																						FAWE	2																																									339																						85																				
1050	The Demon Gate	1	0	3	Blood													10																																																																																								88																				
1051	The Prison of Hearts	1	0	3	Blood										60			5																																																																																								85																				
1052	The Mountain of Power	2	0	2	Blood									3																																												30%																																																83																				
